-- Tags Seed Data BCP Format
-- Columns: ParentTagID, ResourceKey, DefaultLabel, IsActive, SortOrder
-- Use NULL for ParentTagID on root tags
-- TagID is IDENTITY, not included in import

-- Root Level Tags (Categories)
NULL,TAG_ELECTRONICS,Electronics,1,100
NULL,TAG_DOCUMENTS,Documents,1,200
NULL,TAG_MEDIA,Media,1,300
NULL,TAG_PROJECTS,Projects,1,400
NULL,TAG_REFERENCES,References,1,500
NULL,TAG_PERSONAL,Personal,1,600

-- Electronics Children (ParentTagID will be resolved by import script)
TAG_ELECTRONICS,TAG_ELECTRONICS_COMPUTERS,Computers,1,10
TAG_ELECTRONICS,TAG_ELECTRONICS_PHONES,Phones,1,20
TAG_ELECTRONICS,TAG_ELECTRONICS_TABLETS,Tablets,1,30
TAG_ELECTRONICS,TAG_ELECTRONICS_PERIPHERALS,Peripherals,1,40
TAG_ELECTRONICS,TAG_ELECTRONICS_NETWORKING,Networking,1,50

-- Computers Children
TAG_ELECTRONICS_COMPUTERS,TAG_COMPUTERS_DESKTOPS,Desktops,1,10
TAG_ELECTRONICS_COMPUTERS,TAG_COMPUTERS_LAPTOPS,Laptops,1,20
TAG_ELECTRONICS_COMPUTERS,TAG_COMPUTERS_SERVERS,Servers,1,30
TAG_ELECTRONICS_COMPUTERS,TAG_COMPUTERS_COMPONENTS,Components,1,40

-- Documents Children
TAG_DOCUMENTS,TAG_DOCUMENTS_REPORTS,Reports,1,10
TAG_DOCUMENTS,TAG_DOCUMENTS_MANUALS,Manuals,1,20
TAG_DOCUMENTS,TAG_DOCUMENTS_SPECIFICATIONS,Specifications,1,30
TAG_DOCUMENTS,TAG_DOCUMENTS_CONTRACTS,Contracts,1,40
TAG_DOCUMENTS,TAG_DOCUMENTS_CORRESPONDENCE,Correspondence,1,50

-- Media Children
TAG_MEDIA,TAG_MEDIA_IMAGES,Images,1,10
TAG_MEDIA,TAG_MEDIA_VIDEO,Video,1,20
TAG_MEDIA,TAG_MEDIA_AUDIO,Audio,1,30
TAG_MEDIA,TAG_MEDIA_EBOOKS,E-Books,1,40

-- Projects Children
TAG_PROJECTS,TAG_PROJECTS_ACTIVE,Active,1,10
TAG_PROJECTS,TAG_PROJECTS_COMPLETED,Completed,1,20
TAG_PROJECTS,TAG_PROJECTS_ARCHIVED,Archived,1,30
TAG_PROJECTS,TAG_PROJECTS_TEMPLATES,Templates,1,40

-- References Children
TAG_REFERENCES,TAG_REFERENCES_TUTORIALS,Tutorials,1,10
TAG_REFERENCES,TAG_REFERENCES_DOCUMENTATION,Documentation,1,20
TAG_REFERENCES,TAG_REFERENCES_SAMPLES,Samples,1,30
TAG_REFERENCES,TAG_REFERENCES_BOOKMARKS,Bookmarks,1,40

-- Personal Children
TAG_PERSONAL,TAG_PERSONAL_FAVORITES,Favorites,1,10
TAG_PERSONAL,TAG_PERSONAL_TODO,To Do,1,20
TAG_PERSONAL,TAG_PERSONAL_ARCHIVE,Archive,1,30
