SemanticType,SemanticCode,EntityId,PhiloteId
RuleKind,PowerShell,8e06f2af-52cf-47d5-872e-0d3912f4fda0,8e06f2af-52cf-47d5-872e-0d3912f4fda0
RuleKind,Path,b32c60e0-86f3-40e6-893e-d3240ffea882,b32c60e0-86f3-40e6-893e-d3240ffea882
RulePrimitive,<complete-powershell-cmdlet>,9460f2f5-9957-4455-b6a6-8ee241b7ebb3,9460f2f5-9957-4455-b6a6-8ee241b7ebb3
RulePrimitive,<composed-powershell-cmdlet>,ff659102-d147-4f1d-bd31-21978858e5fb,ff659102-d147-4f1d-bd31-21978858e5fb
RulePrimitive,<path>,36696ed7-e4f2-4305-b83e-5deaddd4a279,36696ed7-e4f2-4305-b83e-5deaddd4a279
RulePrimitive,<unc-path>,8263f648-2607-452e-ad69-5e4566354cc9,8263f648-2607-452e-ad69-5e4566354cc9
RulePrimitive,<absolute-path>,f8a27327-cb7a-46f4-bc53-5a2a9945784d,f8a27327-cb7a-46f4-bc53-5a2a9945784d
RulePrimitive,<relative-path>,03c6c7a1-f6f8-4fcc-a1aa-9239dc96109a,03c6c7a1-f6f8-4fcc-a1aa-9239dc96109a
RulePrimitive,<extended-path>,9c967a82-098f-4a38-bac5-2be34529ed54,9c967a82-098f-4a38-bac5-2be34529ed54
RulePrimitive,<drive>,250e84cb-abd3-4823-875d-e0e75d88cee3,250e84cb-abd3-4823-875d-e0e75d88cee3
RulePrimitive,<path-tail>,c810abaf-010a-426e-afda-d6881831a9e6,c810abaf-010a-426e-afda-d6881831a9e6
RulePrimitive,<name>,197c9963-55d3-4d80-9e39-23f30bf6c57e,197c9963-55d3-4d80-9e39-23f30bf6c57e
RulePrimitive,<namechar>,fa3311ee-3e7c-415a-9eb6-b458c793a675,fa3311ee-3e7c-415a-9eb6-b458c793a675
RulePrimitive,<server>,520ade57-f639-45e1-b7de-e5dc3142655c,520ade57-f639-45e1-b7de-e5dc3142655c
RulePrimitive,<share>,9b2a48bc-7c85-48cd-ac0d-a09d4b621b0a,9b2a48bc-7c85-48cd-ac0d-a09d4b621b0a
RulePrimitive,<letter>,9c8077ce-7abf-4d9a-969b-75631589a220,9c8077ce-7abf-4d9a-969b-75631589a220
Rule,HelloWorldPowerShell,616fb394-0b4d-486a-98af-48f1fe461af2,616fb394-0b4d-486a-98af-48f1fe461af2
Rule,HelloWorldRelativePath,c5c1c63a-4364-4233-9aa1-2a1a5a2ba1f3,c5c1c63a-4364-4233-9aa1-2a1a5a2ba1f3
RuleSet,HelloWorld,23ad4f37-2c70-4f34-9104-9868ec0f3823,23ad4f37-2c70-4f34-9104-9868ec0f3823
BuildSet,HelloWorld,550e7722-cb57-4e47-a94b-9212b451d6fb,550e7722-cb57-4e47-a94b-9212b451d6fb
Instantiation,HelloWorld,03e28494-998f-4fc2-ba5d-ad6e5832c8b7,03e28494-998f-4fc2-ba5d-ad6e5832c8b7
