PhiloteId,Comment
f0c6f7bf-0a91-402c-8d0a-0e9d828b1b4d,<csproj-file>
5f8f4a2d-5c8a-4f71-8b27-7ff6a72f5f1c,<property-group>
f5e6df38-0c63-4b3c-8a53-72d5f6ad2962,<property>
b87e6f6c-9f2c-4e4c-9f54-2da53a46c7f6,<item-group>
6a4c6e4e-5035-4c74-9d08-47e0a5b6c17e,<project-reference>
bc63c4a9-e2ab-4e6f-83b6-8f8a5f09341a,<package-reference>
0d7df833-9bdb-4f4b-a2c8-9e27863cfe26,<xml-comment>
5c4b6d7a-3f5d-4a8d-90d6-0f3cf0f9b6aa,<compile-remove>
4f6dbde9-52f2-4d3f-82a1-7b9f3a6c4d85,<cs-source-file>
8b9e0f19-5272-4c1f-90db-e1e6b0c5d3f2,<using-directive>
d3f0f6b9-1eae-4a8d-9a6f-5d8f2410c8a4,<namespace-block-declaration>
2f4a8073-b7c8-432e-aac7-65f6063a1e2a,<single-line-comment>
0fbb4f0d-917d-4b60-8db1-9d9e3de5712f,<access-modifier>
a4efb6e5-58f0-4603-94ae-45b62c323d0b,<type-parameter-list>
8ad77df8-8366-40f8-99b5-ff2a2a8d5da9,<type-constraint-clause>
3e8eac46-1e1a-4b80-a5f1-406cc6f5d0f1,<base-type-list>
b7f87746-72af-4632-9dd9-05f833b3a8e8,<type-reference>
6a972b5b-5da7-4a73-b5d6-564e1b305a0b,<interface-declaration>
6d2e4c24-4f59-487f-9e6d-2e65f97a6dd0,<property-declaration>
2c75c902-3a6c-4c28-8f0f-1b8d6f45fefa,<attribute-list>
5c1f93b8-6db5-4aaf-94ef-7b3d8b8a9d3a,<class-declaration>
1b5b9a87-9b4b-4d64-8720-3d7d8f3a6f5e,<record-declaration>
c81c5942-0918-42b4-bc4c-1b1c9e7192cb,<field-declaration>
0e7a4a44-71d4-46cd-8bf1-ff7e1aa02a8d,<parameter-list>
a8234b2e-17dc-4b18-9d6d-2f8ed2f4123c,<constructor-declaration>
cb1f3a32-bf40-4b35-97cf-36e5c8b08e31,<method-declaration>
a3f2e1d0-1b2c-4a5b-8c9d-0e1f2a3b4c5d,<sql-script-file>
b4e3f2c1-2c3d-4b6c-9d0e-1f2a3b4c5d6e,<batch>
c5d4e3b2-3d4e-4c7d-ae1f-2a3b4c5d6e7f,<go-separator>
d6c5d4a3-4e5f-4d8e-bf20-3b4c5d6e7f80,<use-statement>
e7b6c5f4-5f60-4e9f-c031-4c5d6e7f8091,<set-option-statement>
f8a7d6e5-6071-4f0a-d142-5d6e7f809102,<single-line-comment>
09b8e7f6-7182-4a1b-e253-6e7f8091a234,<block-comment>
1ac9f8e7-8293-4b2c-f364-7f8091ab2345,<separator-comment-block>
2bdae9f8-93a4-4c3d-a475-8091a2bc3456,<object-existence-guard>
3cebfa09-a4b5-4d4e-b586-91a2b3cd4567,<declare-statement>
4dfc0b1a-b5c6-4e5f-c697-a2b3c4de5678,<set-variable-statement>
5e0d1c2b-c6d7-4f60-d7a8-b3c4d5ef6789,<select-from-order-statement>
70a3e4d4-e8f9-4182-f9ca-d5e6f7a14901,<function-parameter>
81b4f5e5-f9a0-4293-aadb-e6f7081b5a12,<returns-table-clause>
6f1e2d3c-d7e8-4071-e8b9-c4d5e6f07890,<create-function-tvf-statement>
92c5a6f6-0ab1-43a4-bbec-f7081c2c6b23,<cte-clause>
a3d6b7e7-1bc2-44b5-ccfd-081d2d3d7c34,<insert-into-select-statement>
b4e7c8f8-2cd3-45c6-ddae-192e3e4e8d45,<case-when-expression>
c5f8d9a9-3de4-46d7-eebf-2a3f4f5f9e56,<query-hint-clause>
091cdecd-7128-4abb-22f3-6e7383939290,<return-statement>
d6e9eaba-4ef5-47e8-ffc0-3b405060af67,<create-table-statement>
e7fabcbb-5f06-48f9-00d1-4c5161717078,<column-definition>
f80bcdcc-6017-49ea-11e2-5d6272828189,<inline-table-constraint>
e1a2b3c4-d5e6-4f78-9012-a3b4c5d6e7f8,<complete-powershell-cmdlet>
f2b3c4d5-e6f7-4089-a123-b4c5d6e7f8a9,<composed-powershell-cmdlet>
