"PhiloteId","PrimitiveLanguageKindId","Name","Purpose","SourceFileReference"
"2f8b8c1b-3e25-44a0-9c6d-6b2f9f3f5e6c","4","ATAP.Utilities.StronglyTypedIds.Interfaces.csproj","Render the project file for the StronglyTypedIds interfaces library.","src/ATAP.Utilities.StronglyTypedIds.Interfaces/ATAP.Utilities.StronglyTypedIds.Interfaces.csproj"
"8d6a0bf9-4ed6-4a4d-8e9d-7f1f0cfad3e3","4","ATAP.Utilities.StronglyTypedIds.csproj","Render the StronglyTypedIds implementation project.","src/ATAP.Utilities.StronglyTypedIds/ATAP.Utilities.StronglyTypedIds.csproj"
"12df4c1d-7f30-4a3c-b0fd-83f6de6a2c38","4","ATAP.Utilities.Philote.Interfaces.csproj","Render the Philote interfaces project.","src/ATAP.Utilities.Philote.Interfaces/ATAP.Utilities.Philote.Interfaces.csproj"
"6c7dbe32-3c6a-4ea8-bc10-5a1b1d0584db","4","ATAP.Utilities.Philote.csproj","Render the Philote implementation project with package and project references.","src/ATAP.Utilities.Philote/ATAP.Utilities.Philote.CSharp/ATAP.Utilities.Philote.csproj"
"1c8b8c57-0d64-4e4a-8e60-5f8a3f7f7d3a","4","ATAP.Utilities.StronglyTypedId.csproj (aggregator)","Aggregate child StronglyTypedId projects without compiling their sources.","src/ATAP.Utilities.StronglyTypedId/ATAP.Utilities.StronglyTypedId.csproj"
"54bfa6f5-7be2-4a5b-94a4-3f4c2b5e6a1d","4","ATAP.Utilities.StronglyTypedId.Interfaces.csproj","Interfaces project for StronglyTypedId.","src/ATAP.Utilities.StronglyTypedId/Interfaces/ATAP.Utilities.StronglyTypedId.Interfaces.csproj"
"c2cbb8dd-2a7a-4c2e-9e31-3bc8d2db1f44","4","ATAP.Utilities.StronglyTypedId.Models.csproj","Models project for StronglyTypedId.","src/ATAP.Utilities.StronglyTypedId/Models/ATAP.Utilities.StronglyTypedId.Models.csproj"
"9f4b5a1c-2d71-4d8c-87d2-7d7ab6e9c2c1","4","ATAP.Utilities.StronglyTypedId.JsonConverter.Shim.SystemTextJson.csproj","System.Text.Json shim converters for StronglyTypedId.","src/ATAP.Utilities.StronglyTypedId/JsonConverter.Shim.SystemTextJson/ATAP.Utilities.StronglyTypedId.JsonConverter.Shim.SystemTextJson.csproj"
"f5a4f28a-2f21-4d0c-9939-6a9d5e6b7c3f","4","ATAP.Utilities.Philote.csproj (aggregator)","Aggregate Philote child projects.","src/ATAP.Utilities.Philote/ATAP.Utilities.Philote.csproj"
"7a3f1d5c-9c14-4df5-8a6b-3f1a4b2c7d9e","4","ATAP.Utilities.Philote.DefaultConfiguration.csproj","Default configuration project for Philote.","src/ATAP.Utilities.Philote/DefaultConfiguration/ATAP.Utilities.Philote.DefaultConfiguration.csproj"
"f6b8c8d2-9c91-4a1c-9f5e-2e7b5c2d6a1f","4","ATAP.Utilities.Philote.Models.csproj","Models project for Philote.","src/ATAP.Utilities.Philote/Models/ATAP.Utilities.Philote.Models.csproj"
"2a5d8b1c-7e6f-4c0b-b2d4-9b2c5e1d7f4a","4","ATAP.Utilities.Philote.Interfaces.csproj (sub-folder)","Interfaces project for Philote.","src/ATAP.Utilities.Philote/Interfaces/ATAP.Utilities.Philote.Interfaces.csproj"
"4f6c9e5d-1b62-4a42-8a8c-7e4f3c6a9d1e","4","ATAP.Utilities.Philote.JsonConverter.Shim.SystemTextJson.csproj","System.Text.Json shim converters for Philote.","src/ATAP.Utilities.Philote/JsonConverter.Shim.SystemTextJson/ATAP.Utilities.Philote.JsonConverter.Shim.SystemTextJson.csproj"
"b5c9d7f1-1c8f-4d1e-8bba-2f7b2e6d5a10","4","ATAP.Utilities.Philote.Converters.Interfaces.csproj","Converter interfaces for Philote serializers.","src/ATAP.Utilities.Philote/Converters.Interfaces.Save/ATAP.Utilities.Philote.Converters.Interfaces.csproj"
