RulePrimitiveId,PhiloteId,RuleKindId,RulePrimitiveCode
9460f2f5-9957-4455-b6a6-8ee241b7ebb3,9460f2f5-9957-4455-b6a6-8ee241b7ebb3,8e06f2af-52cf-47d5-872e-0d3912f4fda0,<complete-powershell-cmdlet>
ff659102-d147-4f1d-bd31-21978858e5fb,ff659102-d147-4f1d-bd31-21978858e5fb,8e06f2af-52cf-47d5-872e-0d3912f4fda0,<composed-powershell-cmdlet>
36696ed7-e4f2-4305-b83e-5deaddd4a279,36696ed7-e4f2-4305-b83e-5deaddd4a279,b32c60e0-86f3-40e6-893e-d3240ffea882,<path>
8263f648-2607-452e-ad69-5e4566354cc9,8263f648-2607-452e-ad69-5e4566354cc9,b32c60e0-86f3-40e6-893e-d3240ffea882,<unc-path>
f8a27327-cb7a-46f4-bc53-5a2a9945784d,f8a27327-cb7a-46f4-bc53-5a2a9945784d,b32c60e0-86f3-40e6-893e-d3240ffea882,<absolute-path>
03c6c7a1-f6f8-4fcc-a1aa-9239dc96109a,03c6c7a1-f6f8-4fcc-a1aa-9239dc96109a,b32c60e0-86f3-40e6-893e-d3240ffea882,<relative-path>
9c967a82-098f-4a38-bac5-2be34529ed54,9c967a82-098f-4a38-bac5-2be34529ed54,b32c60e0-86f3-40e6-893e-d3240ffea882,<extended-path>
250e84cb-abd3-4823-875d-e0e75d88cee3,250e84cb-abd3-4823-875d-e0e75d88cee3,b32c60e0-86f3-40e6-893e-d3240ffea882,<drive>
c810abaf-010a-426e-afda-d6881831a9e6,c810abaf-010a-426e-afda-d6881831a9e6,b32c60e0-86f3-40e6-893e-d3240ffea882,<path-tail>
197c9963-55d3-4d80-9e39-23f30bf6c57e,197c9963-55d3-4d80-9e39-23f30bf6c57e,b32c60e0-86f3-40e6-893e-d3240ffea882,<name>
fa3311ee-3e7c-415a-9eb6-b458c793a675,fa3311ee-3e7c-415a-9eb6-b458c793a675,b32c60e0-86f3-40e6-893e-d3240ffea882,<namechar>
520ade57-f639-45e1-b7de-e5dc3142655c,520ade57-f639-45e1-b7de-e5dc3142655c,b32c60e0-86f3-40e6-893e-d3240ffea882,<server>
9b2a48bc-7c85-48cd-ac0d-a09d4b621b0a,9b2a48bc-7c85-48cd-ac0d-a09d4b621b0a,b32c60e0-86f3-40e6-893e-d3240ffea882,<share>
9c8077ce-7abf-4d9a-969b-75631589a220,9c8077ce-7abf-4d9a-969b-75631589a220,b32c60e0-86f3-40e6-893e-d3240ffea882,<letter>
8c3d6e7f-5a4b-4c9d-0e12-3c4d5e6f7081,8c3d6e7f-5a4b-4c9d-0e12-3c4d5e6f7081,b32c60e0-86f3-40e6-893e-d3240ffea882,<atap-utilities-secrets-csproj-path>
