"PhiloteId","PrimitiveLanguageKindId","Name","Description"
"a3f2e1d0-1b2c-4a5b-8c9d-0e1f2a3b4c5d","3","<sql-script-file>","Top-level container for a .sql file"
"b4e3f2c1-2c3d-4b6c-9d0e-1f2a3b4c5d6e","3","<batch>","Sequence of T-SQL statements sent to SQL Server as a unit"
"c5d4e3b2-3d4e-4c7d-ae1f-2a3b4c5d6e7f","3","<go-separator>","GO batch separator recognized by SSMS and sqlcmd"
"d6c5d4a3-4e5f-4d8e-bf20-3b4c5d6e7f80","3","<use-statement>","Changes the current database context (USE <db>)"
"e7b6c5f4-5f60-4e9f-c031-4c5d6e7f8091","3","<set-option-statement>","Configures a session-level behavior flag (e.g. ANSI_NULLS)"
"f8a7d6e5-6071-4f0a-d142-5d6e7f809102","3","<single-line-comment>","Single-line T-SQL comment (--)"
"09b8e7f6-7182-4a1b-e253-6e7f8091a234","3","<block-comment>","Multi-line block comment (/* ... */)"
"1ac9f8e7-8293-4b2c-f364-7f8091ab2345","3","<separator-comment-block>","Visual separator comment block (=== ... ===)"
"2bdae9f8-93a4-4c3d-a475-8091a2bc3456","3","<object-existence-guard>","IF OBJECT_ID(...) IS NOT NULL guard before DDL"
"3cebfa09-a4b5-4d4e-b586-91a2b3cd4567","3","<declare-statement>","DECLARE local variable statement"
"4dfc0b1a-b5c6-4e5f-c697-a2b3c4de5678","3","<set-variable-statement>","SET @variable = value statement"
"5e0d1c2b-c6d7-4f60-d7a8-b3c4d5ef6789","3","<select-from-order-statement>","SELECT ... FROM ... ORDER BY statement"
"70a3e4d4-e8f9-4182-f9ca-d5e6f7a14901","3","<function-parameter>","Scalar parameter declaration in a function or procedure"
"81b4f5e5-f9a0-4293-aadb-e6f7081b5a12","3","<returns-table-clause>","RETURNS TABLE clause of a multi-statement or inline TVF"
"6f1e2d3c-d7e8-4071-e8b9-c4d5e6f07890","3","<create-function-tvf-statement>","CREATE FUNCTION ... RETURNS TABLE DDL statement"
"92c5a6f6-0ab1-43a4-bbec-f7081c2c6b23","3","<cte-clause>","Common Table Expression (WITH <name> AS (...))"
"a3d6b7e7-1bc2-44b5-ccfd-081d2d3d7c34","3","<insert-into-select-statement>","INSERT INTO ... SELECT ... statement"
"b4e7c8f8-2cd3-45c6-ddae-192e3e4e8d45","3","<case-when-expression>","CASE WHEN ... THEN ... ELSE ... END expression"
"c5f8d9a9-3de4-46d7-eebf-2a3f4f5f9e56","3","<query-hint-clause>","OPTION (...) query hint clause"
"091cdecd-7128-4abb-22f3-6e7383939290","3","<return-statement>","RETURN [value] statement"
"d6e9eaba-4ef5-47e8-ffc0-3b405060af67","3","<create-table-statement>","CREATE TABLE DDL statement"
"e7fabcbb-5f06-48f9-00d1-4c5161717078","3","<column-definition>","Column definition inside CREATE TABLE"
"f80bcdcc-6017-49ea-11e2-5d6272828189","3","<inline-table-constraint>","Inline or table-level constraint (PK, UQ, FK, DEFAULT, CHECK)"
