PhiloteValidityPeriodId,PhiloteId,PreviousValidToUtc,ValidFromUtc,ValidToUtc
593610e7-21e2-5963-9ee5-78884cf66bb3,8e06f2af-52cf-47d5-872e-0d3912f4fda0,,2026-08-08T00:00:00.0000000Z,
f36cbcc7-a7b2-5535-8159-8d3d248258e0,b32c60e0-86f3-40e6-893e-d3240ffea882,,2026-08-08T00:00:00.0000000Z,
9bf6184c-5bc9-516e-9474-d03e795c3bdd,9460f2f5-9957-4455-b6a6-8ee241b7ebb3,,2026-08-08T00:00:00.0000000Z,
09e5213f-aa30-5702-8e70-bf53f9ecce1b,ff659102-d147-4f1d-bd31-21978858e5fb,,2026-08-08T00:00:00.0000000Z,
9ae30592-b6ac-5e9a-b186-98ca958a7da8,36696ed7-e4f2-4305-b83e-5deaddd4a279,,2026-08-08T00:00:00.0000000Z,
c2df9ac8-1b37-55ff-a0d0-698bc323a9c9,8263f648-2607-452e-ad69-5e4566354cc9,,2026-08-08T00:00:00.0000000Z,
d81f0221-c994-539e-bfc9-beff669cae9c,f8a27327-cb7a-46f4-bc53-5a2a9945784d,,2026-08-08T00:00:00.0000000Z,
53184270-16ae-5b72-bc75-9a4dafdf9d75,03c6c7a1-f6f8-4fcc-a1aa-9239dc96109a,,2026-08-08T00:00:00.0000000Z,
fc3c5625-7923-5f3f-bbdf-dc373014e14d,9c967a82-098f-4a38-bac5-2be34529ed54,,2026-08-08T00:00:00.0000000Z,
9e3f90f5-6ba7-55ec-9d32-917233b401c5,250e84cb-abd3-4823-875d-e0e75d88cee3,,2026-08-08T00:00:00.0000000Z,
76b47e27-1170-5eed-b690-8af5e9b69363,c810abaf-010a-426e-afda-d6881831a9e6,,2026-08-08T00:00:00.0000000Z,
71f8eb3b-fce8-5f11-88a2-b66ad12f9e26,197c9963-55d3-4d80-9e39-23f30bf6c57e,,2026-08-08T00:00:00.0000000Z,
972f58b5-a7f8-5894-9a17-2bf4722f9ee1,fa3311ee-3e7c-415a-9eb6-b458c793a675,,2026-08-08T00:00:00.0000000Z,
4c6d68c6-3c1a-5b51-8aec-da7fb2ccd7a8,520ade57-f639-45e1-b7de-e5dc3142655c,,2026-08-08T00:00:00.0000000Z,
bdfa134e-b4be-5a3b-867e-7dc11fb68530,9b2a48bc-7c85-48cd-ac0d-a09d4b621b0a,,2026-08-08T00:00:00.0000000Z,
d003f29d-5bc1-5bf6-9643-8f094bd553a3,9c8077ce-7abf-4d9a-969b-75631589a220,,2026-08-08T00:00:00.0000000Z,
7ce930d3-2aa4-5463-b1b8-2777593d12f5,8c3d6e7f-5a4b-4c9d-0e12-3c4d5e6f7081,,2026-08-08T00:00:00.0000000Z,
117890ef-22a2-5203-8b33-b9f2f2c5ba3e,616fb394-0b4d-486a-98af-48f1fe461af2,,2026-08-08T00:00:00.0000000Z,
f43b7c35-de69-5760-bef8-1defce36286e,c5c1c63a-4364-4233-9aa1-2a1a5a2ba1f3,,2026-08-08T00:00:00.0000000Z,
fc3915e5-c57e-5dbc-a030-bb882d83cad6,23ad4f37-2c70-4f34-9104-9868ec0f3823,,2026-08-08T00:00:00.0000000Z,
65c64d30-04ec-5f85-9d72-a86e015f7e0d,550e7722-cb57-4e47-a94b-9212b451d6fb,,2026-08-08T00:00:00.0000000Z,
c22bebda-2395-5a94-be89-a1a12e3d9712,03e28494-998f-4fc2-ba5d-ad6e5832c8b7,,2026-08-08T00:00:00.0000000Z,
